,msm_bin,msm_geom,em_bin,em_geom
ON,1,1,0,0
OKE,0,0,0,0
ORCL,0,1,1,1
PCAR,1,1,1,1
PKG,0,1,1,1
PARA,1,1,1,1
PH,0,0,0,0
PAYX,0,1,0,1
PNR,1,1,0,1
PEP,0,1,0,0
PFE,0,0,0,0
PCG,0,0,1,0
PM,0,1,0,0
PNW,0,1,0,1
PNC,1,1,0,0
POOL,0,1,0,1
PPG,0,1,0,1
PPL,0,1,0,1
PFG,0,1,0,1
PG,0,1,1,1
PGR,0,1,0,1
PLD,0,0,0,0
PRU,1,1,0,1
PEG,0,0,0,0
PTC,1,1,1,1
PSA,0,1,0,0
PHM,0,1,0,1
PWR,1,1,1,0
QCOM,0,1,0,1
DGX,0,1,1,1
RL,1,1,1,1
RJF,0,1,0,0
RTX,0,1,0,1
O,0,1,0,1
REG,0,1,0,1
REGN,1,1,1,1
RF,1,1,0,0
RSG,1,1,1,1
RMD,1,1,1,1
RVTY,0,1,0,1
ROK,1,1,1,1
ROL,0,1,1,1
ROP,0,1,0,1
ROST,0,1,1,1
RCL,0,1,0,1
SPGI,0,1,0,0
CRM,0,1,1,1
SBAC,0,1,0,1
SLB,0,1,0,0
STX,1,1,1,1
