,msm_bin,msm_geom,em_bin,em_geom
HST,0,0,0,0
HPQ,0,1,1,1
HUBB,1,1,1,1
HUM,0,1,0,1
HBAN,0,1,0,0
IBM,1,1,0,1
IEX,0,1,0,1
IDXX,1,1,1,1
ITW,0,1,0,1
INCY,0,1,0,1
PODD,1,1,1,1
INTC,0,1,1,1
ICE,1,1,0,0
IP,0,1,1,1
IPG,0,1,1,1
INTU,0,1,1,1
ISRG,1,1,1,1
IVZ,0,1,0,1
IRM,0,1,1,1
JBHT,0,1,0,1
JBL,1,1,1,1
JKHY,0,1,0,0
J,0,1,1,1
JNJ,0,1,0,1
JCI,0,1,0,1
JPM,0,0,0,0
JNPR,1,1,1,1
K,1,1,1,1
KDP,0,1,1,1
KEY,0,1,0,0
KMB,0,1,1,0
KIM,0,1,1,1
KLAC,1,1,1,1
KR,1,1,1,0
LHX,0,1,1,1
LH,1,1,1,1
LRCX,1,1,0,1
LVS,0,1,0,1
LDOS,0,1,1,1
LEN,1,1,0,1
LII,1,1,0,1
LLY,0,1,1,1
LIN,0,0,0,0
LYV,1,1,0,0
LKQ,1,1,1,1
LMT,1,1,0,1
L,0,1,0,1
LOW,1,1,1,1
LULU,0,1,0,1
