,msm_bin,msm_geom,em_bin,em_geom
EQR,0,1,0,1
ERIE,1,1,0,1
ESS,0,1,0,1
EL,1,1,1,1
EG,0,1,1,1
EVRG,0,1,0,0
ES,0,1,0,0
EXC,0,1,0,0
EXPE,1,1,1,1
EXPD,0,1,1,1
EXR,0,1,0,0
XOM,0,1,0,0
FFIV,1,1,1,1
FDS,1,1,1,1
FICO,0,1,1,1
FAST,0,1,1,1
FRT,0,1,0,1
FDX,0,1,1,1
FIS,0,1,0,1
FITB,0,1,0,0
FSLR,0,1,0,1
FE,0,1,1,1
FI,0,1,1,1
FMC,1,0,0,1
F,1,1,1,1
FTNT,1,1,1,1
BEN,0,1,0,1
FCX,1,0,0,0
GRMN,1,1,1,1
IT,0,1,0,1
GE,1,1,0,1
GEN,1,1,1,1
GD,0,1,1,1
GIS,1,1,1,1
GPC,1,1,1,1
GILD,1,1,1,1
GPN,1,1,1,1
GS,0,1,0,1
HAL,0,0,0,0
HIG,1,1,1,1
HAS,0,1,1,1
DOC,0,0,1,0
HSY,0,1,0,1
HES,0,1,0,1
HOLX,1,1,1,1
HD,0,1,1,0
HON,0,1,0,0
HRL,0,1,1,1
