,msm_bin,msm_geom,em_bin,em_geom
MMM,0,1,1,1
AOS,0,1,1,1
ACN,1,1,1,0
ADBE,0,1,1,1
AMD,0,1,0,1
AES,1,1,0,1
AFL,0,1,0,0
A,1,1,1,1
APD,0,1,1,1
AKAM,1,1,1,1
ALB,0,1,1,1
ARE,0,1,0,1
ALGN,1,1,1,0
LNT,0,1,0,0
ALL,0,1,1,1
GOOGL,1,1,0,1
GOOG,1,1,0,1
MO,0,1,0,1
AMZN,0,1,0,1
AEE,0,1,0,1
AEP,1,1,0,0
AXP,1,1,1,1
AIG,1,0,0,0
AMT,0,1,0,1
AWK,0,1,0,0
AMP,0,1,0,1
AME,0,1,0,0
AMGN,0,1,0,1
APH,0,1,1,0
ADI,0,1,1,1
ANSS,1,1,1,1
AON,1,1,1,1
APA,1,1,0,1
AAPL,0,1,0,1
AMAT,0,1,0,1
ACGL,0,1,0,0
ADM,0,1,0,1
AJG,0,1,1,0
AIZ,1,1,1,1
T,1,1,1,1
ATO,0,1,0,1
ADSK,0,1,1,1
ADP,1,1,1,1
AZO,1,1,1,1
AVB,1,1,0,0
AVY,0,1,0,0
AXON,1,1,1,1
BKR,1,1,0,1
BALL,0,1,1,0
