Date,a1,sigma1,a2,sigma2,p12,p21,p1_final,p2_final
2010-12-31 00:00:00-05:00,7.869745362790261e-05,0.021625964687079217,0.010271858452813473,0.04718374659010554,0.37959687044625134,0.9999999783739978,0.8336560677934087,0.1663439322065912
2011-01-03 00:00:00-05:00,0.0003672137855679793,0.021933802804525483,0.010603092991277631,0.04981211336308665,0.32465944487749515,0.9999994298273251,0.8498790449191798,0.1501209550808202
2011-01-04 00:00:00-05:00,0.0006415121423791576,0.021871790727844783,0.01046093973182185,0.04992476748763407,0.322697545135821,0.9999993983997307,0.8276186516689995,0.17238134833100044
2011-01-05 00:00:00-05:00,0.0006197799438556332,0.021849678979128748,0.010478640345290651,0.04996576908554892,0.32263377815011984,0.9999994016201529,0.8397473806490486,0.1602526193509514
2011-01-06 00:00:00-05:00,0.0006358184236582325,0.021856739103843746,0.010468964015502505,0.04996819825503608,0.32254881885076875,0.9999994031345151,0.8468440072901535,0.15315599270984648
2011-01-07 00:00:00-05:00,0.0004573792090437791,0.021944661242737796,0.010595229224605759,0.04987780382067935,0.32328069318004804,0.9999994527658618,0.8184946535068589,0.1815053464931411
2011-01-10 00:00:00-05:00,0.0005852432919313677,0.021911304898374232,0.010459689744687,0.04992350481407813,0.3226066729984663,0.9999994260589015,0.8649660620966143,0.13503393790338572
2011-01-11 00:00:00-05:00,0.0003710908752619213,0.021694856042805064,0.010520369680819212,0.0499340997951354,0.3253568899757216,0.9999994324425457,0.8575825920743828,0.1424174079256171
2011-01-12 00:00:00-05:00,0.00017611077071203016,0.021477400979320917,0.010472525914556233,0.049943380060492634,0.3274007252040768,0.9999994234333763,0.8593938981669615,0.14060610183303845
2011-01-13 00:00:00-05:00,0.000340752011587974,0.021470386923005933,0.010334517917922796,0.049963317354962504,0.3266010908606821,0.9999993935565481,0.8415625362373707,0.15843746376262935
2011-01-14 00:00:00-05:00,0.00012396184494450514,0.021431584042093145,0.010492505328151021,0.04992171684643607,0.3278824419574468,0.9999994231420849,0.8533418407452644,0.14665815925473555
2011-01-18 00:00:00-05:00,0.0003673464448152431,0.021516534621029235,0.01063897636538472,0.04956260324828589,0.3362994631115927,0.9999994179742197,0.46121884046079503,0.538781159539205
2011-01-19 00:00:00-05:00,0.00037767148433617067,0.02147883939250915,0.010735796487837127,0.04957143646968002,0.3374207915701134,0.999999429446646,0.9257181439974931,0.07428185600250692
2011-01-20 00:00:00-05:00,0.0004216795037238429,0.021288049704288065,0.011011951693444667,0.04958360240537886,0.334473461412164,0.9999993848526886,0.8040190949367093,0.19598090506329063
2011-01-21 00:00:00-05:00,0.0003425290853087026,0.021379000077564957,0.011046680762438288,0.04957632523811992,0.3342915461686162,0.9999994144506934,0.8155259675744522,0.18447403242554783
2011-01-24 00:00:00-05:00,0.0004682314822826057,0.02143301545065198,0.010959914512002672,0.04961083988529245,0.3328748686733622,0.9999994068313102,0.8295464466369639,0.17045355336303625
2011-01-25 00:00:00-05:00,0.0003277102644249312,0.021432594834096992,0.011061471955680935,0.04959534501167124,0.3332781844473583,0.9999994243744572,0.8560984159062821,0.14390158409371795
2011-01-26 00:00:00-05:00,0.00015879792724672265,0.021325144772066,0.011123197648539751,0.04957316001281196,0.33551273875696,0.9999994332245881,0.8557297555089782,0.14427024449102166
2011-01-27 00:00:00-05:00,0.00028089052113794763,0.021533534858976022,0.011242456496798236,0.049339945990343186,0.3396378401308412,0.9999994740002537,0.5422242686685644,0.45777573133143573
2011-01-28 00:00:00-05:00,-7.004035532405248e-05,0.021821001876249423,0.011233409728533487,0.049191685862237766,0.3384042840244308,0.9999995180939961,0.6997128293524277,0.3002871706475723
2011-01-31 00:00:00-05:00,-0.00043144907730667954,0.021861930454123966,0.01121812339597952,0.049294671523270134,0.33515713708553,0.9999995487307358,0.7457626294011012,0.2542373705988988
2011-02-01 00:00:00-05:00,-0.00042332128385062085,0.021983989900236655,0.011301854378183826,0.04952841388226974,0.3265922762990728,0.9999994455729634,0.8662733510100588,0.13372664898994116
2011-02-02 00:00:00-05:00,-0.0004177540440695453,0.022210087205660114,0.013836760460798915,0.04903559882100384,0.2986309815875056,0.9999995877529533,0.8214056177211755,0.1785943822788245
2011-02-03 00:00:00-05:00,-0.00045493779513885974,0.022207048989903347,0.013875880477187947,0.049013538011222935,0.299310678939268,0.9999996029406847,0.8772649802787859,0.12273501972121413
2011-02-04 00:00:00-05:00,-0.0004999495932008141,0.022216151823662166,0.013875600284152153,0.04897352777703649,0.29918850427201815,0.9999996034457388,0.8654078144307997,0.1345921855692003
2011-02-07 00:00:00-05:00,-0.0005724713004661161,0.022156138649228847,0.01390571575929093,0.04896785299252417,0.3006627280126744,0.9999996152127922,0.8561819662701827,0.14381803372981727
2011-02-08 00:00:00-05:00,-0.00032084535885260746,0.022170244092194674,0.013693064757918228,0.04907536948285678,0.2972645375016081,0.9999995208638206,0.8367555468039921,0.1632444531960079
2011-02-09 00:00:00-05:00,-0.00042096631431123394,0.022004588057404444,0.013656307909073129,0.04924306760625302,0.29710654373637735,0.9999995135679774,0.8589410289395997,0.14105897106040027
2011-02-10 00:00:00-05:00,-0.00024074526505386674,0.02197994393120414,0.013515387234065562,0.04932992335939722,0.2960777684622638,0.9999994594692018,0.8578575011404965,0.14214249885950345
2011-02-11 00:00:00-05:00,-0.0002848644444250584,0.021962793628130178,0.013557371587216257,0.04934560016408978,0.2962900657449084,0.9999994694872664,0.8693873206982864,0.13061267930171355
