Date,a1,sigma1,a2,sigma2,p12,p21,p1_final,p2_final
2018-07-26 00:00:00-04:00,0.001359322037687297,0.0070690959903895135,0.0015149072024165638,0.017065010883569705,0.050910234828355994,0.1608784845319771,0.9631472714543827,0.036852728545617226
2018-07-27 00:00:00-04:00,0.0013878211021854602,0.007062048375900184,0.0015025289828555224,0.01703698998779058,0.050964842804223656,0.15989293412149796,0.9644187156696183,0.035581284330381706
2018-07-30 00:00:00-04:00,0.0013534110135100881,0.0070906391722578045,0.0015134198080515395,0.017036277815768754,0.05064145267628993,0.15833552060051148,0.9476005427386214,0.052399457261378665
2018-07-31 00:00:00-04:00,0.0012505547554047794,0.007053377451326954,0.0015600486909054098,0.016966817756047494,0.05136250288217103,0.15756974680257152,0.9418066061343495,0.05819339386565039
2018-08-01 00:00:00-04:00,0.0013833783672652406,0.007180835743199819,0.001576378059420002,0.017058607109304486,0.05243700762787898,0.15799048977614796,0.5527425092005798,0.44725749079942023
2018-08-02 00:00:00-04:00,0.0014410791340172403,0.007249005441472695,0.001485634130081944,0.017144763916048817,0.048418453160328466,0.15098621177622246,0.7826987079558798,0.21730129204412021
2018-08-03 00:00:00-04:00,0.0015110860530263128,0.0073281667887636,0.001413256842074907,0.01728813939159353,0.0456577234250106,0.14325513543223825,0.794619666271467,0.20538033372853307
2018-08-06 00:00:00-04:00,0.0015497930939089668,0.007358017240456398,0.0013854095281151018,0.017574025751200446,0.043122804094314564,0.14076204621961783,0.9060518829479582,0.09394811705204183
2018-08-07 00:00:00-04:00,0.0014486353363314124,0.007316432254293356,0.0007494526347150181,0.015604419306369889,0.04202620157965154,0.13164418929988095,0.9056622736953257,0.0943377263046743
2018-08-08 00:00:00-04:00,0.0014412499034784467,0.0072980417954911884,0.0007599187454990442,0.015598778540804676,0.04303234739560581,0.13178355077332207,0.9100253242786716,0.08997467572132849
2018-08-09 00:00:00-04:00,0.0014499702624203154,0.007214653838944455,0.0007727815505694676,0.015367169417377743,0.04555202144790179,0.12865151629158517,0.41390515531825395,0.586094844681746
2018-08-10 00:00:00-04:00,0.0014689168850010252,0.007258196619396913,0.0008473193902146575,0.015362042313686566,0.04539593719882831,0.1286121748812608,0.47341468333386183,0.5265853166661383
2018-08-13 00:00:00-04:00,0.0014215044641562543,0.007293927974407416,0.000840319980500991,0.015464356559742062,0.0436584577381832,0.13165013687389432,0.7149371443518623,0.28506285564813766
2018-08-14 00:00:00-04:00,0.0013820298571810426,0.0073247088717285445,0.0008216370190025225,0.015493377329827538,0.04311239272326298,0.13234302805595818,0.8099238450007316,0.19007615499926836
2018-08-15 00:00:00-04:00,0.0013571138709503284,0.007311275015687966,0.0008230323413378435,0.015505103274792584,0.043417968201534214,0.13349020505128797,0.8944158893931828,0.10558411060681712
2018-08-16 00:00:00-04:00,0.0013360994753833495,0.007361931703132144,0.0007447905127801804,0.01544796275758654,0.04482519319297801,0.13170641760457621,0.7323221285470818,0.26767787145291805
2018-08-17 00:00:00-04:00,0.0013855721292770017,0.007314719275559197,0.0008357745617715281,0.015516537677120848,0.043028123271090235,0.13314462315650005,0.8554579000008266,0.14454209999917345
