Date,a1,sigma1,a2,sigma2,p12,p21,p1_final,p2_final
2010-12-31 00:00:00-05:00,0.001957131711749023,0.017004702405554368,0.001666933107078414,0.027287687917811863,0.005884138250082702,0.020207295615218755,0.9897178965948676,0.010282103405132328
2011-01-03 00:00:00-05:00,0.001951729215576378,0.017007205789651477,0.0016640703340450428,0.027280258652772376,0.005909603108784535,0.020212587334073523,0.9888475546117133,0.011152445388286747
2011-01-04 00:00:00-05:00,0.002107058494960495,0.0171444029503698,0.001618783147137292,0.02732451617825302,0.006015946796288351,0.020455849626093196,0.9786016056899323,0.021398394310067816
2011-01-05 00:00:00-05:00,0.002092685217907612,0.01715434029377546,0.0016117647365635418,0.02732443950524839,0.0060913590080332305,0.02050774548332098,0.9795325065365005,0.020467493463499555
2011-01-06 00:00:00-05:00,0.002227457906319562,0.01704253910521511,0.001627623892245204,0.027308037867770325,0.00600797503320154,0.02035852062173233,0.983869195382078,0.016130804617921927
2011-01-07 00:00:00-05:00,0.0021054453052249847,0.017080121145039005,0.0016257293143363233,0.027308608536006456,0.006137816231867913,0.020462526095361658,0.9814584463356336,0.018541553664366467
2011-01-10 00:00:00-05:00,0.002349731062833364,0.016822675734708022,0.0016543021938695203,0.0272665767096004,0.0058707647357833445,0.020075785418883774,0.9848263208198105,0.015173679180189598
2011-01-11 00:00:00-05:00,0.0023097528167755825,0.016789081674397865,0.001663156492321228,0.027254947058668398,0.0058632988651624645,0.02003107017775725,0.9861490196234727,0.0138509803765274
2011-01-12 00:00:00-05:00,0.0023300493182506835,0.01678329309731029,0.0016624532731467872,0.02725376982594152,0.00587547232823889,0.020036070198324502,0.9878813884344704,0.012118611565529732
2011-01-13 00:00:00-05:00,0.0023531254017237595,0.016788929268433644,0.001659983625069937,0.027255296354291563,0.005910282782810533,0.020066510314006233,0.9885874850796279,0.011412514920372
2011-01-14 00:00:00-05:00,0.0021892982644536336,0.016637995296590803,0.0016991188581258919,0.027200278679833816,0.005887254685139529,0.019893570942946436,0.9896264074394925,0.010373592560507518
2011-01-18 00:00:00-05:00,0.0022695840264798637,0.01667643100810328,0.0016794398135293188,0.027215854484312303,0.0059031933760048646,0.019947720540793884,0.9880983188793268,0.011901681120673175
2011-01-19 00:00:00-05:00,0.002323809598649266,0.01662360367084204,0.0016818991198406972,0.027204099224603193,0.005897495820819811,0.01991317255747058,0.9882315036952392,0.011768496304760722
2011-01-20 00:00:00-05:00,0.0023644461597780854,0.016607564385311697,0.0016788821320954646,0.02719912634147126,0.005907601530043166,0.01990969579640005,0.989233148660371,0.010766851339629013
2011-01-21 00:00:00-05:00,0.002424518885732394,0.01663184529021658,0.0016650225363375353,0.027204799665390026,0.005937466610067366,0.019949386197246965,0.9885681524750798,0.01143184752492021
2011-01-24 00:00:00-05:00,0.0026133189600245615,0.01662011923161784,0.0016467677953949083,0.027212854502413043,0.005937702155619474,0.019979066013123818,0.9869510314000632,0.013048968599936877
2011-01-25 00:00:00-05:00,0.0026050875164655473,0.016617739262050096,0.001644056097973405,0.027203662169914336,0.0059815381094608456,0.019983890296284588,0.9884392671878275,0.011560732812172542
2011-01-26 00:00:00-05:00,0.002709207198378945,0.016597803075726676,0.0016380387512542095,0.02719487636548215,0.006028955585232384,0.020005304159200796,0.9889904045498245,0.011009595450175536
2011-01-27 00:00:00-05:00,0.0027412756030504707,0.01660154770436219,0.0016305077554677984,0.027186350130406003,0.006137977860547115,0.02005118471682475,0.9890914223812158,0.010908577618784185
2011-01-28 00:00:00-05:00,0.0027609987623840268,0.016599088003303793,0.0016179751345925643,0.027172032834909328,0.0063099900573642944,0.020123571744863462,0.9885157963502544,0.011484203649745622
2011-01-31 00:00:00-05:00,0.0025182624519895155,0.016615222590012965,0.0016212138200109576,0.02715827436666243,0.006348998359102696,0.020100493884576586,0.9800307967929759,0.019969203207024038
2011-02-01 00:00:00-05:00,0.0026391761974428685,0.016591806488558965,0.0016119760078121747,0.027150929028455104,0.00651374313347416,0.02018429832573925,0.9824884129793745,0.01751158702062543
2011-02-02 00:00:00-05:00,0.0028600874774330257,0.01629731281382718,0.0016750918512400898,0.02711399548972483,0.006059512565390239,0.019826449910567027,0.9867918083309749,0.01320819166902508
2011-02-03 00:00:00-05:00,0.0028221190573127857,0.01627070657188885,0.001681176359065802,0.027097527888349567,0.006085572731123455,0.01980074052260617,0.9881249509778729,0.011875049022127063
2011-02-04 00:00:00-05:00,0.0029415352799421987,0.01616581606820042,0.0016896915521072415,0.02706588518213016,0.006090012241540691,0.019780056798836886,0.9894239255535873,0.010576074446412747
2011-02-07 00:00:00-05:00,0.0029603221351795573,0.016156037582691817,0.0016947505370889255,0.02705411243837198,0.006123648461188163,0.01977240317834882,0.9898412891736843,0.010158710826315734
2011-02-08 00:00:00-05:00,0.003000998410905641,0.016166952072585918,0.0016991246082259733,0.02704096932783298,0.006183257274846218,0.019773354512149954,0.9894635464531598,0.010536453546840244
2011-02-09 00:00:00-05:00,0.0028671987205731247,0.0161527762398213,0.0017234291074105723,0.027008408689102693,0.006261192369041799,0.019713969006760833,0.9883248965397403,0.011675103460259646
2011-02-10 00:00:00-05:00,0.002811728074020647,0.016138322402156596,0.0017507831108383423,0.02696055641291638,0.006425437756912888,0.019663523238145353,0.988689607154143,0.011310392845856965
2011-02-11 00:00:00-05:00,0.0027239797962063045,0.01605954088892798,0.0017689112509881053,0.02690075058781753,0.006543056040758347,0.019593925256164175,0.9893080896812105,0.010691910318789551
