Date,a1,sigma1,a2,sigma2,p12,p21,p1_final,p2_final
2010-12-31 00:00:00-05:00,0.0006547099106568231,0.006570669596637024,0.0010751039288689724,0.01288341022222313,0.03379212509736644,0.038911460087494264,0.9538258968718932,0.04617410312810679
2011-01-03 00:00:00-05:00,0.0007002363661490963,0.006528093946276567,0.0011225291432302516,0.012987004645999068,0.03334055809523859,0.04233558580387472,0.957234531347916,0.04276546865208388
2011-01-04 00:00:00-05:00,0.0006339577159780314,0.0064476943309898045,0.001100735743141499,0.012988764138162055,0.033628329100534614,0.04256649421719347,0.9619926375299989,0.0380073624700012
2011-01-05 00:00:00-05:00,0.0005426172420153183,0.006578771458408529,0.0011164970980682468,0.012984254883540111,0.03389780632957092,0.041199217325330724,0.8615320440883083,0.13846795591169173
2011-01-06 00:00:00-05:00,0.00046314302441778855,0.006548390598761327,0.0010997720880078215,0.012930931035919527,0.033129125894740076,0.038593563073403656,0.8878517967799817,0.11214820322001837
2011-01-07 00:00:00-05:00,0.00039925010251092745,0.00647961672966721,0.0010932494649678734,0.013043931690618104,0.03292737558685904,0.043107141214954424,0.9227865426387794,0.07721345736122065
2011-01-10 00:00:00-05:00,0.0004901664596042982,0.006485454465702962,0.0010841958869640218,0.0130071255321199,0.03262135034712358,0.04096524198300451,0.9132784116403946,0.08672158835960533
2011-01-11 00:00:00-05:00,0.0004862958565114285,0.006438934582445566,0.0010480566337404875,0.012971610507772558,0.03181426013097416,0.03883136541575564,0.938308218472147,0.06169178152785295
2011-01-12 00:00:00-05:00,0.0005370926518414534,0.006392136228028986,0.0010256645424495852,0.012913275366907713,0.030468626016705285,0.03500111117727108,0.9529675776559425,0.04703242234405749
2011-01-13 00:00:00-05:00,0.0006269925422761758,0.006414312603843664,0.0010468564719365516,0.012927862210592602,0.0301303424791265,0.0335667742123085,0.9249430068729368,0.07505699312706314
2011-01-14 00:00:00-05:00,0.0005944473418609389,0.006380804953150306,0.0009906830261742483,0.012946187707587563,0.02954084751819142,0.033019846213233554,0.944558120445805,0.055441879554194974
2011-01-18 00:00:00-05:00,0.0006314250063585588,0.006343757982259822,0.0010093151473651097,0.012976047573142628,0.029045593309885875,0.031943847085062774,0.9562475335408909,0.04375246645910911
2011-01-19 00:00:00-05:00,0.0006463690118559196,0.006307787987106576,0.0010709446241482757,0.013005067131993219,0.028684819807121176,0.0317156615016132,0.9648586819855274,0.035141318014472615
2011-01-20 00:00:00-05:00,0.00063226483851652,0.006260032093453658,0.0013200132831990919,0.01317345694965498,0.02908758496826967,0.042087292526467215,0.970092280661318,0.02990771933868199
2011-01-21 00:00:00-05:00,0.0005939593082289362,0.006230076787937439,0.0013069995852754454,0.013147179669062703,0.028862298492661035,0.040827220836268004,0.9724059040576274,0.027594095942372675
2011-01-24 00:00:00-05:00,0.00066979225740572,0.006206406824960872,0.0013134177839359954,0.013130484789151747,0.028498768715391965,0.0397431666697616,0.9679341110017035,0.032065888998296516
2011-01-25 00:00:00-05:00,0.000755839198647052,0.006293140524979283,0.0013168972380470125,0.013097348577412881,0.027747781197478165,0.03676035090044568,0.9137745572776007,0.08622544272239938
2011-01-26 00:00:00-05:00,0.0007531204785256665,0.006271880783525909,0.0013192752998609305,0.013060398753335653,0.026358204866931422,0.033221999947110205,0.9464324055430221,0.053567594456977924
2011-01-27 00:00:00-05:00,0.0007178694919681648,0.006255163007579454,0.001321718535507414,0.013069665288131025,0.02551229512693244,0.030943572259532204,0.9560299161628985,0.043970083837101555
2011-01-28 00:00:00-05:00,0.0007822122790364354,0.006289171326312906,0.001302824047976891,0.013124772126459584,0.025381870367451306,0.030334455262469907,0.9260707612704566,0.07392923872954335
2011-01-31 00:00:00-05:00,0.0007015252451911439,0.006354327981673255,0.0012243132543364554,0.013169987390642488,0.02588344630734599,0.030838530218059136,0.8437300672592845,0.15626993274071554
2011-02-01 00:00:00-05:00,0.0007251129594013507,0.006345646338600181,0.0013369453364395596,0.013185753176979871,0.02525607377874825,0.03091357383059843,0.8988353727668191,0.10116462723318087
2011-02-02 00:00:00-05:00,0.0008285728164867182,0.006504184825155417,0.0015146828053353456,0.01325163876767436,0.024719714221210616,0.03480705805439297,0.8314008338902693,0.16859916610973064
2011-02-03 00:00:00-05:00,0.0007269652664681896,0.006359380059654074,0.0013145769614911129,0.013334955719532953,0.03480883886093336,0.03938811323492701,0.026105525286234058,0.9738944747137659
2011-02-04 00:00:00-05:00,0.0007642273625708827,0.00635480382883494,0.0012714216515559006,0.01338934106256666,0.03506431857896115,0.04167958992504386,0.03672005430245353,0.9632799456975465
2011-02-07 00:00:00-05:00,0.0007464883169501305,0.006334567615420412,0.0012198778411466832,0.01332854338152695,0.03496823082320822,0.03889045281496634,0.08040649356719103,0.9195935064328089
2011-02-08 00:00:00-05:00,0.0007415921843787789,0.006317326413349731,0.0013001254271200993,0.013315224280934325,0.03497700943790239,0.03732179154075929,0.10826784888238428,0.8917321511176157
2011-02-09 00:00:00-05:00,0.0007448978219398868,0.00632750656057595,0.0012626533917436684,0.013310105117489859,0.03487525105059966,0.03826154134936083,0.18360750873935427,0.8163924912606457
2011-02-10 00:00:00-05:00,0.0007486491269359196,0.006328609173798891,0.0013198891300407536,0.013338028286291938,0.035524907274111485,0.04091415703807928,0.3561942954210794,0.6438057045789206
2011-02-11 00:00:00-05:00,0.0007494392639548033,0.006470057323649809,0.001113958569675233,0.013475869719422478,0.031401927466973505,0.045171200975574304,0.5144918684942772,0.48550813150572275
